0	13	12
1	19	19
2	5	5
3	13	13
4	8	8
5	4	4
6	16	16
7	15	13
8	11	11
9	29	27
10	10	9
11	10	10
12	16	16
13	9	9
14	12	12
15	17	16
16	11	11
17	5	5
18	6	5
19	7	7
20	13	13
21	2	2
22	15	13
23	27	27
24	13	13
25	19	18
26	10	10
27	10	7
28	24	23
29	18	18
30	19	19
31	13	12
32	12	12
33	10	10
34	1	1
35	2	2
36	10	10
37	14	14
38	7	7
39	21	20
40	8	7
41	6	6
42	11	11
43	22	22
44	13	13
45	4	4
46	14	14
47	12	12
48	14	12
49	26	25
50	10	10
51	0	0
52	3	3
53	17	17
54	17	16
55	22	22
56	7	7
57	11	11
58	15	15
59	18	18
60	16	15
61	7	6
62	9	9
63	11	11
64	4	4
65	10	10
66	4	4
67	16	16
68	6	6
69	10	10
70	15	15
71	19	17
72	16	15
73	0	0
74	13	12
75	3	3
76	4	4
77	10	10
78	8	8
79	8	8
80	15	14
81	6	6
82	13	13
83	17	14
84	10	10
85	7	5
86	8	8
87	8	7
88	12	12
89	6	6
90	16	15
91	7	6
92	13	13
93	11	11
94	5	5
95	18	18
96	14	13
97	4	4
98	18	18
99	14	13
100	20	17
101	8	8
102	5	5
103	13	12
104	12	12
105	11	10
106	11	9
107	4	4
108	10	10
109	2	2
110	11	10
111	17	16
112	2	2
113	23	22
114	16	16
115	16	16
116	4	4
117	14	14
118	16	16
119	10	9
120	7	7
121	11	11
122	13	13
123	7	7
124	12	12
125	7	7
126	7	7
127	15	15
128	11	11
129	15	15
130	5	5
131	0	0
132	4	4
133	9	9
134	3	2
135	12	12
136	18	18
137	3	3
138	3	3
139	15	14
140	2	2
141	11	11
142	12	12
143	28	28
144	17	17
145	7	7
146	16	16
147	12	12
148	9	8
149	18	17
150	13	12
151	17	17
152	25	24
153	6	4
154	16	16
155	8	8
156	19	19
157	3	3
158	26	26
159	17	16
160	13	13
161	7	7
162	16	16
163	16	16
164	9	7
165	8	8
166	7	7
167	30	26
168	14	14
169	1	1
170	12	12
171	5	5
172	1	1
173	21	21
174	14	14
175	14	14
176	15	15
177	18	18
178	14	14
179	2	2
180	15	14
181	7	7
182	11	10
183	8	8
184	7	7
185	10	8
186	18	18
187	4	4
188	10	10
189	29	27
190	21	21
191	1	1
192	23	23
193	2	2
194	2	2
195	12	11
196	8	8
197	11	11
198	18	18
199	2	2
200	15	14
201	27	26
202	13	12
203	13	12
204	6	6
205	12	12
206	1	1
207	6	6
208	5	5
209	7	7
